X-Men, 2000, 14 Jul 2000, English, 104, Tom DeSanto (story)  Bryan Singer (story)  David Hayter (screenplay), Bryan Singer, 7.4, PG-13, tt0120903, 382486, Action  Adventure  Sci-Fi, 13 wins & 25 nominations.
Road Trip, 2000, 19 May 2000, English, 93, Todd Phillips  Scot Armstrong, Todd Phillips, 6.5, R, tt0215129, 121060, Adventure  Comedy, 2 wins & 9 nominations.
Best in Show, 2000, 20 Oct 2000, English, 90, Christopher Guest  Eugene Levy, Christopher Guest, 7.5, PG-13, tt0218839, 42373, Comedy, Nominated for 1 Golden Globe. Another 13 wins & 11 nominations.
Hollow Man, 2000, 4 Aug 2000, English, 112, Gary Scott Thompson (story)  Andrew W. Marlowe (story)  Andrew W. Marlowe (screenplay), Paul Verhoeven, 5.7, R, tt0164052, 94166, Sci-Fi  Thriller, Nominated for 1 Oscar. Another 7 wins & 9 nominations.
Gone in Sixty Seconds, 2000, 9 Jun 2000, English, 118, H.B. Halicki  Scott Rosenberg (screenplay), Dominic Sena, 6.5, PG-13, tt0187078, 197839, Action  Crime  Thriller, 6 wins & 5 nominations.
Erin Brockovich, 2000, 17 Mar 2000, English, 131, Susannah Grant, Steven Soderbergh, 7.3, R, tt0195685, 121723, Biography  Drama, Won 1 Oscar. Another 36 wins & 50 nominations.
The Replacements, 2000, 11 Aug 2000, English, 118, Vince McKewin, Howard Deutch, 6.5, PG-13, tt0191397, 43854, Comedy  Sport, N/A
X-Men, 2000, 14 Jul 2000, English, 104, Tom DeSanto (story)  Bryan Singer (story)  David Hayter (screenplay), Bryan Singer, 7.4, PG-13, tt0120903, 382486, Action  Adventure  Sci-Fi, 13 wins & 25 nominations.
Gladiator, 2000, 5 May 2000, English, 155, David Franzoni (story)  David Franzoni (screenplay)  John Logan (screenplay)  William Nicholson (screenplay), Ridley Scott, 8.5, R, tt0172495, 824824, Action  Drama, Won 5 Oscars. Another 57 wins & 94 nominations.
American Psycho, 2000, 14 Apr 2000, English, 102, Bret Easton Ellis (novel)  Mary Harron (screenplay)  Guinevere Turner (screenplay), Mary Harron, 7.6, R, tt0144084, 309883, Crime  Drama, 5 wins & 8 nominations.
Requiem for a Dream, 2000, 27 Oct 2000, English, 102, Hubert Selby Jr. (based on the book by)  Hubert Selby Jr. (screenplay)  Darren Aronofsky (screenplay), Darren Aronofsky, 8.4, R, tt0180093, 493049, Drama, Nominated for 1 Oscar. Another 43 wins & 47 nominations.
Almost Famous, 2000, 22 Sep 2000, English, 122, Cameron Crowe, Cameron Crowe, 7.9, R, tt0181875, 186315, Drama  Music  Romance, Won 1 Oscar. Another 57 wins & 95 nominations.
Remember the Titans, 2000, 29 Sep 2000, English, 113, Gregory Allen Howard, Boaz Yakin, 7.7, PG, tt0210945, 144064, Biography  Drama  Sport, 7 wins & 17 nominations.
The Beach, 2000, 11 Feb 2000, English, 119, John Hodge (screenplay)  Alex Garland (novel), Danny Boyle, 6.6, R, tt0163978, 153647, Adventure  Drama  Thriller, 7 nominations.
Cast Away, 2000, 22 Dec 2000, English, 143, William Broyles Jr., Robert Zemeckis, 7.7, PG-13, tt0162222, 336931, Adventure  Drama, Nominated for 2 Oscars. Another 18 wins & 25 nominations.
Unbreakable, 2000, 22 Nov 2000, English, 106, M. Night Shyamalan, M. Night Shyamalan, 7.2, PG-13, tt0217869, 224001, Drama  Mystery  Sci-Fi, 2 wins & 12 nominations.
Coyote Ugly, 2000, 4 Aug 2000, English, 100, Gina Wendkos, David McNally, 5.6, PG-13, tt0200550, 82764, Comedy  Drama  Music, 4 wins & 4 nominations.
The Emperor's New Groove, 2000, 15 Dec 2000, English, 78, Chris Williams (story)  Mark Dindal (story)  David Reynolds (screenplay)  Stephen J. Anderson (story)  Stephen J. Anderson (additional story material)  Don Hall (additional story material)  John Norton (additional story material)  Roger Allers (original story)  Matthew Jacobs (original story)  Doug Frankel (additional story)  Mark Kennedy (additional story)  Mark Walton (additional story), Mark Dindal, 7.3, G, tt0120917, 107828, Animation  Adventure  Comedy, Nominated for 1 Oscar. Another 8 wins & 27 nominations.
The Cell, 2000, 18 Aug 2000, English, 107, Mark Protosevich, Tarsem Singh, 6.3, R, tt0209958, 73832, Sci-Fi  Thriller, Nominated for 1 Oscar. Another 7 wins & 22 nominations.
The Patriot, 2000, 28 Jun 2000, English, 165, Robert Rodat, Roland Emmerich, 7.1, R, tt0187393, 185518, Action  Drama  History, Nominated for 3 Oscars. Another 8 wins & 17 nominations.
Charlie's Angels, 2000, 3 Nov 2000, English, 98, Ryan Rowe  Ed Solomon  John August  Ivan Goff (TV series)  Ben Roberts (TV series), McG, 5.5, PG-13, tt0160127, 134196, Action  Adventure  Comedy, 12 wins & 26 nominations.
Me  Myself & Irene, 2000, 23 Jun 2000, English, 116, Peter Farrelly  Mike Cerrone  Bobby Farrelly, Bobby Farrelly  Peter Farrelly, 6.5, R, tt0183505, 168860, Comedy, 2 wins & 4 nominations.
Scary Movie, 2000, 7 Jul 2000, English, 88, Shawn Wayans  Marlon Wayans  Buddy Johnson  Phil Beauman  Jason Friedberg  Aaron Seltzer, Keenen Ivory Wayans, 6.2, R, tt0175142, 167928, Comedy, 7 wins & 5 nominations.
That Moment: Magnolia Diary, 2000, 29 Aug 2000, English, 73, N/A, Mark Rance, 7.4, N/A, tt0358205, 261, Documentary  Drama, N/A
Bring It On, 2000, 25 Aug 2000, English, 98, Jessica Bendinger, Peyton Reed, 5.9, PG-13, tt0204946, 63255, Comedy  Sport, 2 wins & 7 nominations.
Men of Honor, 2000, 10 Nov 2000, English, 129, Scott Marshall Smith, George Tillman Jr., 7.1, R, tt0203019, 81972, Biography  Drama, 11 nominations.
Road Trip, 2000, 19 May 2000, English, 93, Todd Phillips  Scot Armstrong, Todd Phillips, 6.5, R, tt0215129, 121060, Adventure  Comedy, 2 wins & 9 nominations.
Best in Show, 2000, 20 Oct 2000, English, 90, Christopher Guest  Eugene Levy, Christopher Guest, 7.5, PG-13, tt0218839, 42373, Comedy, Nominated for 1 Golden Globe. Another 13 wins & 11 nominations.
Hollow Man, 2000, 4 Aug 2000, English, 112, Gary Scott Thompson (story)  Andrew W. Marlowe (story)  Andrew W. Marlowe (screenplay), Paul Verhoeven, 5.7, R, tt0164052, 94166, Sci-Fi  Thriller, Nominated for 1 Oscar. Another 7 wins & 9 nominations.
Gone in Sixty Seconds, 2000, 9 Jun 2000, English, 118, H.B. Halicki  Scott Rosenberg (screenplay), Dominic Sena, 6.5, PG-13, tt0187078, 197839, Action  Crime  Thriller, 6 wins & 5 nominations.
Erin Brockovich, 2000, 17 Mar 2000, English, 131, Susannah Grant, Steven Soderbergh, 7.3, R, tt0195685, 121723, Biography  Drama, Won 1 Oscar. Another 36 wins & 50 nominations.
The Replacements, 2000, 11 Aug 2000, English, 118, Vince McKewin, Howard Deutch, 6.5, PG-13, tt0191397, 43854, Comedy  Sport, N/A
Bedazzled, 2000, 20 Oct 2000, English, 93, Peter Cook  Peter Cook  Dudley Moore  Larry Gelbart (screenplay)  Harold Ramis (screenplay)  Peter Tolan (screenplay), Harold Ramis, 5.9, PG-13, tt0230030, 75535, Comedy  Fantasy  Romance, 1 win & 3 nominations.
Billy Elliot, 2000, 10 Nov 2000, English, 110, Lee Hall, Stephen Daldry, 7.7, PG-13, tt0249462, 89314, Comedy  Drama  Music, Nominated for 3 Oscars. Another 58 wins & 59 nominations.
Little Nicky, 2000, 10 Nov 2000, English, 90, Tim Herlihy  Adam Sandler  Steven Brill, Steven Brill, 5.3, PG-13, tt0185431, 73495, Comedy  Fantasy, 7 nominations.
Pitch Black, 2000, 18 Feb 2000, English, 109, Jim Wheat (story)  Ken Wheat (story)  Jim Wheat (screenplay)  Ken Wheat (screenplay)  David Twohy (screenplay), David Twohy, 7.1, R, tt0134847, 178340, Action  Horror  Sci-Fi, 2 wins & 4 nominations.
Final Destination, 2000, 17 Mar 2000, English, 98, Glen Morgan (screenplay)  James Wong (screenplay)  Jeffrey Reddick (screenplay)  Jeffrey Reddick (story), James Wong, 6.7, R, tt0195714, 159794, Horror  Mystery  Thriller, 3 wins & 3 nominations.
What Lies Beneath, 2000, 21 Jul 2000, English, 130, Clark Gregg (screenplay)  Sarah Kernochan (story)  Clark Gregg (story), Robert Zemeckis, 6.6, PG-13, tt0161081, 91087, Drama  Horror  Mystery, 4 wins & 5 nominations.
High Fidelity, 2000, 31 Mar 2000, English, 113, Nick Hornby (book)  D.V. DeVincentis (screenplay)  Steve Pink (screenplay)  John Cusack (screenplay)  Scott Rosenberg (screenplay), Stephen Frears, 7.6, R, tt0146882, 130112, Comedy  Drama  Music, Nominated for 1 Golden Globe. Another 4 wins & 20 nominations.
The Road to El Dorado, 2000, 31 Mar 2000, English, 89, Terry Rossio (screenplay)  Ted Elliott (screenplay)  Karey Kirkpatrick (additional dialogue), Bibo Bergeron  Will Finn  Don Paul  David Silverman  Jeffrey Katzenberg, 6.8, PG, tt0138749, 47329, Animation  Adventure  Comedy, 1 win & 12 nominations.
Next Friday, 2000, 12 Jan 2000, English, 98, Ice Cube (characters)  DJ Pooh (characters)  Ice Cube, Steve Carr, 6.0, R, tt0195945, 22877, Comedy, 1 nomination.
Dinosaur, 2000, 19 May 2000, English, 82, Thom Enriquez (story)  John Harrison (story)  Robert Nelson Jacobs (story)  Ralph Zondag (story)  John Harrison (screenplay)  Robert Nelson Jacobs (screenplay)  Walon Green (based on an earlier screenplay by)  Gregory Gunter (creative development)  Shirley Pierce (additional written material)  Jonathan Roberts (additional story material)  Rhett Reese (additional story material)  Tamara Lusher (additional story), Eric Leighton  Ralph Zondag, 6.4, PG, tt0130623, 33673, Animation  Adventure  Family, 4 wins & 20 nominations.
Chicken Run, 2000, 23 Jun 2000, English, 84, Peter Lord (original story)  Nick Park (original story)  Karey Kirkpatrick (screenplay)  Mark Burton (additional dialogue)  John O'Farrell (additional dialogue), Peter Lord  Nick Park, 7.1, G, tt0120630, 123400, Animation  Family  Comedy, Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.
The Perfect Storm, 2000, 30 Jun 2000, English, 130, Sebastian Junger (book)  William D. Wittliff (screenplay), Wolfgang Petersen, 6.4, PG-13, tt0177971, 123321, Action  Adventure  Drama, Nominated for 2 Oscars. Another 4 wins & 24 nominations.
Battlefield Earth, 2000, 12 May 2000, English, 118, Corey Mandell (screenplay)  J.D. Shapiro (screenplay)  L. Ron Hubbard (novel), Roger Christian, 2.4, PG-13, tt0185183, 61154, Action  Adventure  Sci-Fi, 10 wins & 2 nominations.
Frequency, 2000, 28 Apr 2000, English, 118, Toby Emmerich, Gregory Hoblit, 7.3, PG-13, tt0186151, 74098, Crime  Drama  Sci-Fi, Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.
Crouching Tiger  Hidden Dragon, 2000, 12 Jan 2001, Mandarin, 120, Du Lu Wang (book)  Hui-Ling Wang (screenplay)  James Schamus (screenplay)  Kuo Jung Tsai (screenplay), Ang Lee, 7.9, PG-13, tt0190332, 201588, Action  Drama  Romance, Won 4 Oscars. Another 109 wins & 107 nominations.
Meet the Parents, 2000, 6 Oct 2000, English, 108, Greg Glienna  Mary Ruth Clarke  Greg Glienna (story)  Mary Ruth Clarke (story)  Jim Herzfeld (screenplay)  John Hamburg (screenplay), Jay Roach, 7.0, PG-13, tt0212338, 235669, Comedy, Nominated for 1 Oscar. Another 7 wins & 14 nominations.
What Women Want, 2000, 15 Dec 2000, English, 127, Josh Goldsmith (story)  Cathy Yuspa (story)  Diane Drake (story)  Josh Goldsmith (screenplay)  Cathy Yuspa (screenplay), Nancy Meyers, 6.4, PG-13, tt0207201, 143998, Comedy  Fantasy  Romance, Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.
Pay It Forward, 2000, 20 Oct 2000, English, 123, Catherine Ryan Hyde (book)  Leslie Dixon (screenplay), Mimi Leder, 7.1, PG-13, tt0223897, 88050, Drama, 1 win & 4 nominations.
Titan A.E., 2000, 16 Jun 2000, English, 94, Hans Bauer (story)  Randall McCormick (story)  Ben Edlund (screenplay)  John August (screenplay)  Joss Whedon (screenplay), Don Bluth  Gary Goldman  Art Vitello, 6.6, PG, tt0120913, 49319, Animation  Action  Adventure, 1 win & 7 nominations.
Space Cowboys, 2000, 4 Aug 2000, English, 130, Ken Kaufman  Howard Klausner, Clint Eastwood, 6.4, PG-13, tt0186566, 55253, Action  Adventure  Thriller, Nominated for 1 Oscar. Another 4 wins & 6 nominations.
Dude  Where's My Car?, 2000, 15 Dec 2000, English, 83, Philip Stark, Danny Leiner, 5.5, PG-13, tt0242423, 107307, Comedy  Mystery  Sci-Fi, 5 nominations.
U-571, 2000, 21 Apr 2000, English, 116, Jonathan Mostow (story)  Jonathan Mostow (screenplay)  Sam Montgomery (screenplay)  David Ayer (screenplay), Jonathan Mostow, 6.6, PG-13, tt0141926, 61226, Action  War, Won 1 Oscar. Another 2 wins & 10 nominations.
Scream 3, 2000, 4 Feb 2000, English, 116, Kevin Williamson (characters)  Ehren Kruger, Wes Craven, 5.5, R, tt0134084, 87423, Horror  Mystery, 5 wins & 5 nominations.
Supernova, 2000, 14 Jan 2000, English, 90, William Malone (story)  Daniel Chuba (story)  David C. Wilson (screenplay), Walter Hill  Francis Ford Coppola  Jack Sholder, 4.7, PG-13, tt0134983, 13622, Horror  Sci-Fi  Thriller, N/A
Love & Basketball, 2000, 21 Apr 2000, English, 124, Gina Prince-Bythewood, Gina Prince-Bythewood, 7.2, PG-13, tt0199725, 12462, Drama  Romance  Sport, 12 wins & 15 nominations.
Dancer in the Dark, 2000, 6 Oct 2000, English, 140, Lars von Trier, Lars von Trier, 8.0, R, tt0168629, 70976, Crime  Drama  Musical, Nominated for 1 Oscar. Another 35 wins & 39 nominations.
Center Stage, 2000, 12 May 2000, English, 115, Carol Heikkinen, Nicholas Hytner, 6.6, PG-13, tt0210616, 14542, Drama  Music  Romance, 1 win.
The Legend of Bagger Vance, 2000, 3 Nov 2000, English, 126, Steven Pressfield (novel)  Jeremy Leven (screenplay), Robert Redford, 6.7, PG-13, tt0146984, 41810, Drama  Fantasy  Sport, 2 wins & 10 nominations.
Boiler Room, 2000, 18 Feb 2000, English, 120, Ben Younger, Ben Younger, 7.0, R, tt0181984, 38194, Crime  Drama  Thriller, 1 win & 9 nominations.
Wonder Boys, 2000, 25 Feb 2000, English, 107, Michael Chabon (novel)  Steve Kloves (screenplay), Curtis Hanson, 7.4, R, tt0185014, 52249, Drama  Comedy, Won 1 Oscar. Another 23 wins & 40 nominations.
The Whole Nine Yards, 2000, 18 Feb 2000, English, 98, Mitchell Kapner, Jonathan Lynn, 6.7, R, tt0190138, 83810, Comedy  Crime, 4 nominations.
Where the Heart Is, 2000, 28 Apr 2000, English, 120, Lowell Ganz (screenplay)  Babaloo Mandel (screenplay)  Billie Letts (novel), Matt Williams, 6.8, PG-13, tt0198021, 25273, Comedy  Drama  Romance, 1 win & 2 nominations.
Vertical Limit, 2000, 8 Dec 2000, English, 124, Robert King (story)  Robert King (screenplay)  Terry Hayes (screenplay), Martin Campbell, 5.8, PG-13, tt0190865, 45495, Action  Adventure  Drama, Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.
Shanghai Noon, 2000, 26 May 2000, English, 110, Miles Millar  Alfred Gough, Tom Dey, 6.6, PG-13, tt0184894, 85304, Action  Adventure  Comedy, 1 win & 7 nominations.
28 Days, 2000, 14 Apr 2000, English, 103, Susannah Grant, Betty Thomas, 6.0, PG-13, tt0191754, 31397, Comedy  Drama, 1 win.
The Flintstones in Viva Rock Vegas, 2000, 28 Apr 2000, English, 90, William Hanna (animated series)  Joseph Barbera (animated series)  Deborah Kaplan  Harry Elfont  Jim Cash  Jack Epps Jr., Brian Levant, 3.6, PG, tt0158622, 13691, Comedy  Family  Romance, 5 nominations.
Big Momma's House, 2000, 2 Jun 2000, English, 99, Darryl Quarles (story)  Darryl Quarles (screenplay)  Don Rhymer (screenplay), Raja Gosnell, 5.0, PG-13, tt0208003, 60516, Action  Comedy  Crime, 1 win & 8 nominations.
The Family Man, 2000, 22 Dec 2000, English, 125, David Diamond  David Weissman, Brett Ratner, 6.7, PG-13, tt0218967, 79807, Comedy  Drama  Fantasy, 4 wins & 6 nominations.
Shaft, 2000, 16 Jun 2000, English, 99, Ernest Tidyman (novel)  John Singleton (story)  Shane Salerno (story)  Richard Price (screenplay)  John Singleton (screenplay)  Shane Salerno (screenplay), John Singleton, 5.9, R, tt0162650, 54639, Action  Crime  Thriller, 1 win & 13 nominations.
The Audition, 2000, 9 Dec 2000, English, N/A, N/A, Chad Lowe, 6.7, N/A, tt0280446, 61, Short, N/A
Tigerland, 2000, 24 May 2001, English, 101, Ross Klavan  Michael McGruther, Joel Schumacher, 7.0, R, tt0170691, 31920, Drama  War, 3 wins & 4 nominations.
Mission to Mars, 2000, 10 Mar 2000, English, 114, Lowell Cannon (story)  Jim Thomas (story)  John Thomas (story)  Jim Thomas (screenplay)  John Thomas (screenplay)  Graham Yost (screenplay), Brian De Palma, 5.5, PG, tt0183523, 55904, Adventure  Drama  Sci-Fi, 1 nomination.
The 6th Day, 2000, 17 Nov 2000, English, 123, Cormac Wibberley  Marianne Wibberley, Roger Spottiswoode, 5.9, PG-13, tt0216216, 92364, Action  Sci-Fi  Thriller, 8 nominations.
Boys and Girls, 2000, 16 Jun 2000, English, 94, Andrew Lowery  Andrew Miller, Robert Iscove, 5.3, PG-13, tt0204175, 12563, Comedy  Drama, N/A
Quills, 2000, 15 Dec 2000, English, 124, Doug Wright (play)  Doug Wright (screenplay), Philip Kaufman, 7.4, R, tt0180073, 41912, Biography  Drama, Nominated for 3 Oscars. Another 20 wins & 38 nominations.
Malèna, 2000, 27 Oct 2000, Italian, 109, Giuseppe Tornatore (screenplay)  Luciano Vincenzoni (original story), Giuseppe Tornatore, 7.5, R, tt0213847, 57286, Drama  Romance  War, Nominated for 2 Oscars. Another 6 wins & 17 nominations.
Down to You, 2000, 21 Jan 2000, English, 91, Kris Isacsson, Kris Isacsson, 4.9, PG-13, tt0186975, 11357, Comedy  Drama, 1 win & 3 nominations.
The Little Vampire, 2000, 27 Oct 2000, English, 95, Angela Sommer-Bodenburg (novel)  Karey Kirkpatrick (screenplay)  Larry Wilson (screenplay), Uli Edel, 5.7, PG, tt0192255, 6480, Adventure  Comedy  Family, 1 win & 3 nominations.
Dracula 2000, 2000, 22 Dec 2000, English, 99, Joel Soisson (story)  Patrick Lussier (story)  Joel Soisson (screenplay), Patrick Lussier, 4.9, R, tt0219653, 25594, Horror  Thriller, 1 nomination.
Romeo Must Die, 2000, 22 Mar 2000, English, 115, Mitchell Kapner (story)  Eric Bernt (screenplay)  John Jarrell (screenplay), Andrzej Bartkowiak, 6.1, R, tt0165929, 52808, Action  Crime  Thriller, 1 win & 7 nominations.
Whatever It Takes, 2000, 24 Mar 2000, English, 94, Mark Schwahn, David Raynr, 5.5, PG-13, tt0202402, 7399, Comedy  Drama  Romance, 3 nominations.
The Art of War, 2000, 25 Aug 2000, English, 117, Wayne Beach (story)  Wayne Beach (screenplay)  Simon Barry (screenplay), Christian Duguay, 5.7, R, tt0160009, 24219, Action  Adventure  Crime, 2 wins & 9 nominations.
Get Carter, 2000, 6 Oct 2000, English, 102, Ted Lewis (novel)  David McKenna (screenplay), Stephen Kay, 5.0, R, tt0208988, 24957, Action  Crime  Drama, 3 nominations.
The Kid, 2000, 7 Jul 2000, English, 104, Audrey Wells, Jon Turteltaub, 6.0, PG, tt0219854, 32211, Comedy  Family  Fantasy, 1 win & 2 nominations.
102 Dalmatians, 2000, 22 Nov 2000, English, 100, Dodie Smith (novel)  Kristen Buckley (story)  Brian Regan (story)  Kristen Buckley (screenplay)  Brian Regan (screenplay)  Bob Tzudiker (screenplay)  Noni White (screenplay), Kevin Lima, 4.8, G, tt0211181, 23367, Adventure  Comedy  Family, Nominated for 1 Oscar. Another 1 win & 2 nominations.
Red Planet, 2000, 10 Nov 2000, English, 106, Chuck Pfarrer (story)  Chuck Pfarrer (screenplay)  Jonathan Lemkin (screenplay), Antony Hoffman, 5.6, PG-13, tt0199753, 44109, Action  Sci-Fi  Thriller, 1 nomination.
Keeping the Faith, 2000, 14 Apr 2000, English, 128, Stuart Blumberg, Edward Norton, 6.5, PG-13, tt0171433, 42634, Comedy  Drama  Romance, 2 wins & 5 nominations.
Rules of Engagement, 2000, 7 Apr 2000, English, 128, Jim Webb (story)  Stephen Gaghan (screenplay), William Friedkin, 6.4, R, tt0160797, 35280, Action  Drama  War, 1 win & 2 nominations.
The Skulls, 2000, 31 Mar 2000, English, 106, John Pogue, Rob Cohen, 5.6, PG-13, tt0192614, 25069, Crime  Drama  Thriller, 1 nomination.
Snow Day, 2000, 11 Feb 2000, English, 89, Will McRobb  Chris Viscardi, Chris Koch, 4.9, PG, tt0184907, 8497, Adventure  Comedy  Family, 4 nominations.
100 Girls, 2000, 1 Sep 2000, English, 94, Michael Davis, Michael Davis, 5.9, R, tt0214388, 17523, Comedy  Romance, 2 wins & 2 nominations.
Dungeons & Dragons, 2000, 8 Dec 2000, English, 107, Topper Lilien  Carroll Cartwright, Courtney Solomon, 3.6, PG-13, tt0190374, 26050, Action  Adventure  Comedy, 2 nominations.
The Watcher, 2000, N/A, English, 97, Darcy Meyers (story)  David Elliot (story)  David Elliot (screenplay)  Clay Ayers (screenplay), Joe Charbanic, 5.3, R, tt0204626, 20994, Crime  Horror  Mystery, 1 nomination.
My Dog Skip, 2000, 3 Mar 2000, English, 95, Willie Morris (book)  Gail Gilchriest (screenplay), Jay Russell, 7.0, PG, tt0156812, 15617, Drama  Family  Sport, 6 wins & 4 nominations.
Ready to Rumble, 2000, 7 Apr 2000, English, 107, Steven Brill, Brian Robbins, 5.3, PG-13, tt0217756, 11160, Comedy  Sport, 1 nomination.
The Way of the Gun, 2000, 8 Sep 2000, English, 119, Christopher McQuarrie, Christopher McQuarrie, 6.7, R, tt0202677, 26076, Action  Crime  Drama, N/A
Reindeer Games, 2000, 25 Feb 2000, English, 104, Ehren Kruger, John Frankenheimer, 5.7, R, tt0184858, 28904, Action  Crime  Drama, 3 nominations.
Nutty Professor II: The Klumps, 2000, 28 Jul 2000, English, 106, Jerry Lewis (characters)  Steve Oedekerk (story)  Barry W. Blaustein (story)  David Sheffield (story)  Barry W. Blaustein (screenplay)  David Sheffield (screenplay)  Paul Weitz (screenplay)  Chris Weitz (screenplay), Peter Segal, 4.3, PG-13, tt0144528, 36128, Comedy  Fantasy  Romance, 2 wins & 12 nominations.
Proof of Life, 2000, 8 Dec 2000, English, 135, Tony Gilroy  William Prochnau (article)  Thomas Hargrove (book), Taylor Hackford, 6.2, R, tt0228750, 46516, Action  Drama  Thriller, 5 nominations.
The Ladies Man, 2000, 13 Oct 2000, English, 84, Tim Meadows  Dennis McNicholas  Andrew Steele, Reginald Hudlin, 5.1, R, tt0213790, 10185, Comedy, 1 nomination.
The Yards, 2000, 27 Apr 2000, English, 115, James Gray  Matt Reeves, James Gray, 6.4, R, tt0138946, 14767, Crime  Drama  Romance, 4 wins & 1 nomination.
Drowning Mona, 2000, 3 Mar 2000, English, 96, Peter Steinfeld, Nick Gomez, 5.6, PG-13, tt0186045, 11312, Crime  Mystery  Comedy, 1 nomination.
Return to Me, 2000, 7 Apr 2000, English, 115, Bonnie Hunt (story)  Don Lake (story)  Andrew Stern (story)  Samantha Goodman (story)  Bonnie Hunt (screenplay)  Don Lake (screenplay), Bonnie Hunt, 6.9, PG, tt0122459, 15534, Comedy  Drama  Romance, 1 win & 2 nominations.
